,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
1748,rediscovered going ? wondering whether keep uploading becoming harder harder keep quality gifs thanks mate,0.010728302411735058,0.0002569821081124246,0.03612835332751274,0.6975789070129395,0.04225371405482292,0.21305380761623383
1749,aaaaaaaaaa thank ?,0.000881010782904923,0.000563598470762372,0.008881027810275555,0.4081967771053314,0.0018203647341579199,0.579657256603241
1750,really wanna something productive fever killing,0.07746925204992294,0.019354959949851036,0.24064266681671143,0.0779886320233345,0.059703391045331955,0.5248411297798157
1751,feel,0.07106293737888336,0.006930163595825434,0.07091950625181198,0.5212149620056152,0.26493167877197266,0.06494070589542389
1752,deeeeeaaaaadddtttttt,0.009115573950111866,0.005486086942255497,0.017552899196743965,0.42271727323532104,0.09487216174602509,0.4502561092376709
1753,beautiful,0.0029988631140440702,0.0013805411290377378,0.008393525145947933,0.7654492855072021,0.161033496260643,0.06074420362710953
1754,???? wb update siwon noting book carrying incheon airport returning korea taiw?,0.08507828414440155,0.009358718991279602,0.031422581523656845,0.5375639200210571,0.12917618453502655,0.20740020275115967
1755,honestly great hated stan twt knowing ur level intelligence exceeds theyll never feel complete anti,0.05182653293013573,0.016398919746279716,0.021544896066188812,0.39148691296577454,0.4753262996673584,0.04341640695929527
1756,exam starting soon im twitter app like mai sense left loll,0.029287325218319893,0.00910539273172617,0.06275922805070877,0.16117289662361145,0.1949516236782074,0.5427235960960388
1757,one tattoo,0.08841899782419205,0.02185729704797268,0.3132176697254181,0.19870176911354065,0.13107708096504211,0.24672721326351166
1758,tech guy like see intels disappearance,0.05760686844587326,0.04843549057841301,0.2795393168926239,0.1518947184085846,0.18790467083454132,0.2746189832687378
1759,link working,0.004585703834891319,0.001772408140823245,0.017131442204117775,0.41374853253364563,0.059419456869363785,0.5033423900604248
1760,horror movie pay tv master ?,0.005395243410021067,0.018032632768154144,0.929165780544281,0.00999984797090292,0.021045152097940445,0.016361389309167862
1761,paul klein repeat paul klein,0.16826865077018738,0.2672710120677948,0.0616602748632431,0.15685859322547913,0.1862088292837143,0.15973253548145294
1762,teacher think student able handle amount work single exam real,0.08078113943338394,0.004866596311330795,0.16056081652641296,0.6412431001663208,0.05745803564786911,0.05509031563997269
1763,im sad,0.04074091836810112,0.011591422371566296,0.06876788288354874,0.03183358162641525,0.799740731716156,0.04732544347643852
1764,assirat thinner hair,0.007570314221084118,0.001465100678615272,0.08999857306480408,0.40741872787475586,0.026211578398942947,0.46733567118644714
1765,beautiful,0.0029988631140440702,0.0013805411290377378,0.008393525145947933,0.7654492855072021,0.161033496260643,0.06074420362710953
1766,leave kinda cousin alone,0.05354674533009529,0.005597510375082493,0.07557911425828934,0.0834590345621109,0.26754114031791687,0.5142765045166016
1767,recently lost energy lot thing emotion friendship phone call want work left alone,0.01474114041775465,0.0010894237784668803,0.04330715909600258,0.20427709817886353,0.6646913290023804,0.07189378142356873
1768,hello miss,0.01361943781375885,0.005392191931605339,0.020047888159751892,0.36206626892089844,0.24747376143932343,0.35140037536621094
1769,still raining ulsan,0.012989703565835953,0.002431283239275217,0.015587443485856056,0.7988885045051575,0.1259576380252838,0.044145453721284866
1770,amores imposibles,0.07480790466070175,0.016595371067523956,0.17232312262058258,0.2878427505493164,0.38825637102127075,0.06017442047595978
1771,fml want rabbit,0.01811271905899048,0.03452061489224434,0.28823935985565186,0.07591914385557175,0.059553682804107666,0.5236545205116272
1772,heart actually hurt see tweet someone bfgf died can?t even begin imagine awful,0.04951326549053192,0.023493466898798943,0.18101607263088226,0.011499899439513683,0.7035039663314819,0.0309732798486948
1773,were cry could lyric match sob remember ?? mission,0.0040783085860311985,0.000822841830085963,0.02389533817768097,0.1601380556821823,0.7587719559669495,0.05229353532195091
1774,teacher think student able handle amount work single exam real,0.08078113943338394,0.004866596311330795,0.16056081652641296,0.6412431001663208,0.05745803564786911,0.05509031563997269
1775,school morning assembly heaven,0.009624103084206581,0.0005102850263938308,0.013384905643761158,0.9217137694358826,0.0347444973886013,0.020022571086883545
1776,woman moment im proud true inspiration nothing goe?,0.01053758803755045,0.0016854207497090101,0.33873218297958374,0.5113169550895691,0.0776219442486763,0.06010584905743599
1777,??????holmbridge ??????? please rt help owner,0.10442935675382614,0.03879031538963318,0.2669897675514221,0.05575419217348099,0.35950011014938354,0.17453627288341522
1778,poor steph,0.03665033355355263,0.0086548812687397,0.08646591752767563,0.11461599171161652,0.7270106077194214,0.026602383702993393
1779,still working,0.010544775985181332,0.0017818572232499719,0.03209560737013817,0.5547344088554382,0.08327972143888474,0.31756362318992615
1780,?you?ve made shiny laura thank making shiny ?,0.0011462472612038255,0.0002406883577350527,0.003151398617774248,0.885753870010376,0.0029079527594149113,0.10679985582828522
1781,watercolor papeeeeeeer please,0.006989143788814545,0.014814527705311775,0.07299420982599258,0.6229917407035828,0.04248841851949692,0.23972199857234955
1782,generous enough let use xfinity wifi acc,0.0499185174703598,0.021825052797794342,0.2231525182723999,0.36251112818717957,0.051275599747896194,0.2913172245025635
1783,dear one day wakeup see nigeria sale jumia,0.008643914945423603,0.012967010959982872,0.05529766157269478,0.2099272757768631,0.409169465303421,0.30399471521377563
1784,yeri holding boquet joy im,0.00024630804546177387,1.4956793165765703e-05,0.0005373288877308369,0.9976014494895935,0.0005220396560616791,0.001077868859283626
